HS2,HS2 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
48,Paper goods and printed materials,10,India,0.02555936708705832,2.555936708705832,0.15424731499795263,15.424731499795264
49,Paper goods and printed materials,1,China,0.48143120352260993,48.14312035226099,0.08407867449837685,8.407867449837685
49,Paper goods and printed materials,2,Canada,0.14497129325000901,14.497129325000902,0.0038618976988400036,0.3861897698840004
49,Paper goods and printed materials,3,Mexico,0.10019037277081777,10.019037277081777,0.0028500397248058776,0.2850039724805878
49,Paper goods and printed materials,4,United Kingdom,0.09775279399906861,9.77527939990686,0.002614906095722356,0.2614906095722356
49,Paper goods and printed materials,5,Italy,0.04134317505614228,4.134317505614228,0.006696572590621517,0.6696572590621518
49,Paper goods and printed materials,6,Germany,0.03007140692863307,3.0071406928633073,0.023154428871015112,2.3154428871015114
49,Paper goods and printed materials,7,India,0.02999161592733532,2.999161592733532,0.016625207091134724,1.6625207091134724
49,Paper goods and printed materials,8,Vietnam,0.02939355738867582,2.939355738867582,0.027347988714329762,2.734798871432976
49,Paper goods and printed materials,9,"Korea, South",0.024345433179345642,2.434543317934564,0.01039631870333587,1.039631870333587
49,Paper goods and printed materials,10,Malaysia,0.02050914797736256,2.0509147977362563,0.0074576415872174215,0.7457641587217422
61,Apparel and textiles,1,China,0.26655534128215763,26.655534128215763,0.44688563338169973,44.68856333816997
61,Apparel and textiles,2,Vietnam,0.25351750565487613,25.351750565487613,0.30705672798051703,30.705672798051705
61,Apparel and textiles,3,Cambodia,0.08401879704807698,8.401879704807698,0.2973260587861781,29.73260587861781
61,Apparel and textiles,4,Bangladesh,0.0739797111267755,7.39797111267755,0.2713237238185986,27.13237238185986
61,Apparel and textiles,5,Indonesia,0.06843318872957098,6.843318872957098,0.2983294517111972,29.832945171119718
61,Apparel and textiles,6,India,0.06626528850789969,6.626528850789969,0.30061108721090374,30.061108721090374
61,Apparel and textiles,7,Honduras,0.05869378100327819,5.869378100327819,0.07167554658982325,7.167554658982326
61,Apparel and textiles,8,Nicaragua,0.04707116734738095,4.707116734738094,0.10385869659051847,10.385869659051847
61,Apparel and textiles,9,Guatemala,0.04076989348256022,4.076989348256022,0.08655471153894866,8.655471153894865
61,Apparel and textiles,10,Jordan,0.04069532581742372,4.069532581742372,0.08589388144692699,8.589388144692698
62,Apparel and textiles,1,China,0.23964877151182837,23.964877151182836,0.4013965164624479,40.139651646244786
62,Apparel and textiles,2,Vietnam,0.22854438909890024,22.854438909890025,0.2536005602458744,25.36005602458744
62,Apparel and textiles,3,Bangladesh,0.16611800206387367,16.611800206387368,0.24222535314665733,24.222535314665734
62,Apparel and textiles,4,India,0.08453929987902917,8.453929987902917,0.26609475017137285,26.609475017137285
62,Apparel and textiles,5,Indonesia,0.0728745822963318,7.28745822963318,0.2438719660639047,24.38719660639047
62,Apparel and textiles,6,Mexico,0.06233527227393876,6.233527227393876,0.016007851365499228,1.6007851365499228
62,Apparel and textiles,7,Italy,0.04576540055012304,4.5765400550123045,0.13924077637092677,13.924077637092678
62,Apparel and textiles,8,Cambodia,0.040164958375427044,4.0164958375427045,0.24632585682508945,24.632585682508946
62,Apparel and textiles,9,Pakistan,0.03442301504372021,3.442301504372021,0.24226388592307302,24.226388592307302
62,Apparel and textiles,10,Sri Lanka,0.025586308906827625,2.5586308906827626,0.25260722831677596,25.260722831677597
63,Apparel and textiles,1,China,0.5434634698463057,54.346346984630564,0.308121529221044,30.812152922104403
63,Apparel and textiles,2,India,0.18788975488935125,18.788975488935126,0.2352610396410895,23.526103964108948
63,Apparel and textiles,3,Pakistan,0.09658533200033423,9.658533200033423,0.15416995541569337,15.416995541569337
63,Apparel and textiles,4,Mexico,0.07984621817632283,7.9846218176322825,0.05322021807754998,5.322021807754998
63,Apparel and textiles,5,Vietnam,0.03223264686659278,3.2232646866592782,0.17614179492616375,17.614179492616376
63,Apparel and textiles,6,Turkey,0.01741645627627077,1.741645627627077,0.1723418566845085,17.23418566845085
